,.,E37E,
,*,E390,
,Aaron,EB0D,"man: eye,see: day,sun"
,Abaddon,ECD7,"Man: kill,destroy,destruction: knife,cut: very: person"
,Abel,EA96,man: good
,Abel_Mizraim,EFA9,"Sad,grieve: face: village: many,much: neighbor: house: near"
,Abiathar,E35F,"man: hand: grain,wheat: harvest"
,Abida,EEF8,"Man: more: up: many,much: know,knowledge"
,abide,E17B,"house: life,live,alive: good: heart"
,Abijah,EA5B,"man: king,crown,ruler,lord: love"
,Abilene,EC4D,"grass: land,ground,earth"
,ability,E124,"big: knife,cut"
,Abimael,E0FB,Man: no: king: love 
,Abimelech,E0AB,Man: no: lead; forward: person
,Abiud,EA6A,"man: person: mouth,said,speak: good: praise,worship"
,abomination,E0A4,"enmity,hate: love,compassion: no,not: thing"
,about,E11B,thing
,above,E110,up: thing
,Abraham,E373,"man: many: man: love,compassion"
,Abram,E1D1,Man: man: love
,Abyss,EC4E,"no,not: end,finish: land,ground,earth"
,according_to,E24D,"same,equal: mouth,said,speak"
,accuse,E055,"mouth,said,speak: no,not: good"
,Achaia,EB7C,"pain,hurt: knife,cut: land,ground,earth"
,Achaicus,ECA5,Man: cross: people: person
,Achim,EA6E,"man: know,knowledge: write,pen"
,Adah,EDA7,Woman: good: face
,Adam,EC4F,"man: soil,dirt,ground_soil: land,ground"
,Adbeel,E0FE,Man: no: cry
,Addi,EC50,"man: mouth,speak,said: me,i"
,Admah,EDA8,"Red: blood: hand: wet,water: color: village: many,much: neighbor; house: near"
,Admin,EC51,"man: arise,ascend"
,adopt,E177,"house: love,compassion: small,few"
,adoption,E177,"house: love,compassion: small,few"
,Adramyttium,EB93,walk: very : village: many: neighbor: house: near
,Adriatic_Sea,EC17,"ocean,sea: big: wet,water: no,not: plant,tree,wood"
,Adullam,EFAA,"Parable,story,report,message,news: book,read,learn: mouth,said,speak,confession: village: many,much: neighbor: house: near"
,adultery,E027,"love,compassion: no,not: good: eye,see"
,Aeneas,EC2A,"man: good: crooked: no,not: straight"
,Aenon,EBA1,"man: wet,water: go,travel,journey"
,afraid,E056,"mouth,said,speak: heart"
,after,E11D,"thing: to,forward"
,Agabus,EB89,man: insect
,against,E330,forward: backward
,Agrippa,EB9D,"man: pain,hurt: knife,cut: heart"
,Ahaz,EA61,"man: hand: not,no: good"
,Ahuzzath,EDA9,man: thing
,Ai,EDAA,"kill,destroy,destruction: knife,cut: person: village: many,much: neighbor: house: near"
,Aiah,E0FD,Man: small: rooster: bird: sun
,air,E312,
,Akan,EFE5,"Man: turn,change"
,Akbor,E0ED,Man: small: war
,Akkad,EDAB,"Chain,bound,imprisoned,arrest: village: many,much: neighbor: house: near"
,alabaster,E0D4,"money,wealth,wealthy: no,not: soft: thing"
,Alexander,EA14,man: shield: person
,Alexandria,EB5A,"save,rescue: very: help: people;straight: village: many: neighbor: house: near"
,alive,E09F,good: heart
,all,E251,
,Allon_Bakuth,EFAB," Cry: sad,grieve: face: tree,plant,wood"
,allow,E04A,"mouth,said,speak: crown,ruler,king,lord"
,Almodad,EDAC,Man: immeasurable: no: measure
,alone,E223,very : one
,Alphaeus,EC24,"man: work,do"
,altar,EA3C,"table: gift: hand: love,compassion"
,Alvah,EFE6,"Man: lust: bad: no,not: good: eye"
,Alvan,EFE8,Man: very: lust: bad: no: good: eye
,always,E252,"all,whole: time,when"
,Amalek_man,EFE9,Man: war: tongue: mouth: fabric
,amazed,E14A,"big: praise: mouth,said,speak: good"
,amazing,E14A,"big : praise: mouth.said,speak: good"
,ambassador,EBFD,"Eye,see: person: mouth,said speak,confession"
,amen,E100,"good: all,whole"
,Amittai,E1CF,Man: bird: love
,Amminadab,EA51,man: free: no: chain 
,Ammon,EDAE,"big: people: ground,earth,land"
,Amon,EA64,"man: quiet: no,not: mouth: hear,ear"
,Amorites,EDAF,people: mountain
,Amos,EC47,"man: make,create: hand: person"
,Amphipolis,EB2E,"ocean,sea: big: wet,water: village: many: neighbor: house: near"
,Ampliatus,EBB9,man: very: big
,Amraphel,EDB1,Man: mute: mouth: no
,Anah,E0BA,Man: many: no: knife
,Anam,EDB2,"Man: knife,cut: wet,water"
,Ananias,EB65,"man: crown,ruler,king,lord: happy,joy"
,ancestor,EC80,"very: backward: time,when: man: love,compassion"
,and,E11C,thing
,Andrew,E357,man: man
,Andronicus,EBBA,man: very: good
,Aner,EDB3,"Man: two: wet,water"
,angel,E0A7,"good: spirit: no,not: person"
,anger,E204,
,angry,E204,
,animal,E102,
,Anna,EB02,"woman: no,not: cut,knife"
,Annas,EB63,"man: no,not: kill,destroy: knife,cut: person"
,anointed,E033,"crown,ruler,king,lord: mouth,said,speak: near: person"
,another,EBF2,"Person: after: thing: forward,to"
,Antichrist,ED0E,"Lie,deceive,deception,lead_astray,false: bad: no,not: good: cross: measure"
,Antioch,EB58,"against: backward: to,forward: village: many: neighbor: house: near"
,Antipas,EC01,"Man: dead,death,die: no,not: heart: very: believe,faith: know,knowledge: cross"
,Antipatris,EB9A,"man: against: backward: forward,to: family: house: love,compassion"
,Apelles,EBBB,"man: split,divide,division,separate"
,Apollonia,EB30,Kill: knife: person: village: many: neighbor: house: near
,Apollos,EB3E,"man: kill,destroy: knife,cut: person"
,apostle,EBEF,"person: follow: people: to,forward"
,appear,E162,"sun,day: eye,see"
,Apphia,ECF1,"Woman: drink,cup: fruit"
,appointed,E041,"mouth,said,speak: near : person"
,Appolyon,ECD7,"Man: kill,destroy,destruction: knife,cut: very: person"
,Aquila,EB17,"man: eat,food,meal: mouth,said,speak: thing"
,Arabia,EB77,"land,ground,earth: desert,wilderness: no,not: plant,tree,wood"
,Aram,E342,Man: big
,Aram_man,EDB4,Man: big
,Aram_Naharaim,EB72,River: land
,Aran,E0FA,Man: small: goat: sheep: soft: bone
,Ararat,EDB5,"Accuse: mouth,said,speak,confession: bad; no,not; good: mountain"
,Archippus,ECE7,Man: good: horse
,Ard,E0FF,Man: many; child: small: person
,Areli,EFAC,"Man: beast: animal: bad: no,not: good"
,Areopagus,EC35,"council: body: lead,leader: to,forward: person: hill: small,few: mountain"
,Aretas,ECA6,"Man: big: war,fight,battle"
,argument,E057,"mouth,said,speak: wild: no,not: peace: rest,sleep,lie_down: love,compassion"
,Arimathea,E34D,"cross: house: not,no: heart: land,ground,earth"
,Arioch,EDB6,Man: lion: hair: face: animal
,arise,E322,Up: straight
,Aristarchus,EC10,"man: good: crown,ruler,king,lord"
,Aristobulus,EBBC,"man: equal,same: mouth,said,speak"
,Arkites,EDB7,Run: walk: very: people
,arm,E14E,big
,armor,EBBD,metal: body: person
,army,E148,"soldier: person: war,fight,battle: many"
,Arni,EC52,"man: good: happy,joy"
,Arodi,E168,Man: very: donkey: small: horse
,around,E31B,
,Arphaxad,EC53,"man: no,not: hand"
,arrest,E25F,
,arrow,ECBF,"Throw: knife,cut"
,Artemas,EC34,"man: very: all,whole"
,Arvad,EDB8,"Fast_speed: very: to,forward: ground,land,earth"
,Asa,EA5C,"man: hand: happy,joy: heart"
,ascend,E322,Up: straight
,Asenath,EFAD,"woman: heart: bad: no,not: good"
,ash,EA90,"no,not: good: air"
,ashamed,E05F,"no,not: mouth: heart"
,Ashbel,EFAE,Man: eat: mouth: thing: fire
,Asher,EBDE,"Man: happy,joy: face"
,Ashhur,EBDD,Man: happy: face: land
,Ashkenaz,EDB9,"Man: cold: no,not: fire,heat,hot"
,Ashteroth_Karnaim,EDBA,"Cow: land,earth,ground"
,Ashur_land,E0EF,
,Ashur_man,EDBB,
,Asia,EB6F,"direction: land,ground,earth"
,ask,E061,"Mouth,said,speak,confession: ?"
,Asshurites,E1EF,Many: war: people
,Assos,EB20,near: village: many: neighbor: house
,assurance,E070,"know,knowledge: know,knowledge"
,Assyria,EDBC,"Up: grow: ground,land,earth"
,Asyncritius,EBBE,"man: go,travel,journey"
,Atad,EFAF,"Horn: bone: head: face; village: many,much: neighbor: house: near,"
,Athens,EB07,"ignorant,ignorance: village: many: neighbor: house: near"
ë,Attalia,EB,"time,when: village: many: neighbor: house: near"
,attendant,E150,person: straight: people
,author,E12C,"person: write,pen"
,authority,E034,"crown,ruler,king,lord: mouth,said,speak"
,avenge,ED0C,"Backward: Hand: equal,same"
,Avith,EFEA,"Man: small,few: old: no,not: new"
,awake,EC54,"end,finish: rest,sleep,lie_down"
,away,E11E,thing
,Azor,EA6C,"man: person: help: attendant,helper: straight: people"
,Azotus,EB7E,"praise,worship: mouth,said,speak: good: plant,tree,wood: village: many: neighbor: house: near"
,Baal,EBBF,"have: hand: .: silence,quiet: mouth,said,speak: no,not: thing"
,Baal_Hanan,E169,Man: very: no: knife
,Babel,EA67,Ignorant: know: no: land
,baby,E0A6,"very: small,few: person"
,Babylon,EA67,"no: knowledge,know: land,ground,earth: ignorant,ignorance,confuse"
,backward,E325,
,bad,E17D,"no,not: good"
,bag,E26F,soft: box
,Balaam,ECA1,"Man: prophesy: to,forward: small,few: horse"
,Balak,EBFF,"Man: bad: no,not: good: king,ruler,crown,lord,master"
