,Ahasbai,e7f2
,Ahban,e754
,Ahikam,e689
,Ahishahar,e930
,Ahithophel,e7f3
,Ahitub,e7dd
,Ahuzzam,e931
,air,e312
,Akkub,e725
,all,e251
,Anathoth_man,e75b
,anger,e204
,animal,e102
,Argob_man,e71e
,Arieh,e6a3
,around,e31b
,Asharelah,e87d
,Ater,e828
,Attai,e750
,Azaniah,e886
,Aziza,e8d9
,Baal_Hazor,e7f5
,backward,e325
,banner,e2b1
,Barkos,e82b
,Bealiah,e800
,Beeroth,e42b
,Bekorath,e6cd
,belt,e29d
,Ben_Hur,e968
,Beth_Aven,e546
,Beth_Meon,e900
,Beth_Shan,e4e7
,Betonim,e548
,big,e120
,bird,e25c
,boat,e265
,bone,e0b2
,book,e22a
,bowl,e384
,box,e29e
,building,e0a1
,Bunah,e76a
,camel,e29f
,chain,e25f
,chair,e298
,change,e31e
,closed,e23f
,clothing,e253
,color,e284
,cow,eb36
,cross,e038
,cup,e274
,deep,e321
,direction,e323
,door,e23e
,down,e319
,ear,e299
,eight,e293
,Elead,e76d
,Eluzai,e804
,end,e232
,Ephlal,e770
,Eshtemoa_man,e711
,Eshtemoh,e4ca
,Eshton,e712
,eye,e238
,Ezri,e856
,face,e203
,fire,e301
,fish,e263
,five,e290
,flip,e31d
,flower,eb24
,fly,e25b
,forward,e318
,four,e28f
,fruit,e27e
,Gallim,e7ea
,Gareb,e806
,gathered,e108
,Gazez,e771
,Geber,e96b
,go,e381
,good,e096
,grain,e279
,grass,ea33
,Habakkuk,e95f
,Habazziniah,e905
,Hakaliah,e894
,half,ea22
,Hamath,e716
,hand,e071
,Hashubah,e6f1
,Hassophereth,e844
,Hattil,e848
,heart,e29a
,Hen,e8f0
,Hod,e7b7
,hole,e302
,Hophra,e907
,Horesh,e7eb
,horse,e303
,house,e171
,Iddo,e96d
,insect,e304
,Ishmaiah,e80b
,Ithiel,e8a0
,Jaziz,e859
,Jehallelel,e6db
,Jehudi,e90a
,Jeuz,e935
,Jezaniah,e90c
,Joda,e91f
,Joshbekashah,e85a
,Kadmiel,e84d
,Kelal,e8e3
,Kenaniah,e938
,Kilmad,e921
,king,e028
,knife,e24e
,know,e062
,land,e153
,Lasharon,e443
,left,e0f4
,Lehi,e562
,love,e01a
,Maai,e8ab
,Magbish,e851
,Makbannai,e81a
,Maknadebai,e8e6
,man,e000
,many,e198
,Marduk_Baladan,e6b4
,me,e166
,measure,e305
,Melatiah,e8af
,Meraiah,e8b0
,Mered,e72b
,Meshobab,e72c
,metal,eb28
,Miriam_man,e72d
,Misham,e940
,money,e029
,moon,e272
,mountain,e306
,mouth,e03f
,Nacon,e916
,Naphoth_Dor,e971
,near,e300
,Nekoda,e8d3
,net,e307
,Netophah,e7a4
,new,e308
,nine,e294
,no,e17c
,nose,e309
,number,e0b7
,Ohel,e733
,one,e28c
,or,e106
,Padon,e8d5
,Palal,e86b
,part,e29b
,Parvaim,e865
,pen,e29c
,period,e37e
,person,e11f
,pig,e30a
,Plain_of_Dura,e853
,pn,ed11
,pos,e390
,questionmark,e316
,Reelaiah,e8cb
,right,e0f3
,river,e30b
,road,e23c
,sad,e207
,same,e24b
,seven,e292
,shake,e27d
,Shamgar,e5b5
,sheep,e270
,Shemaiah,e786
,Shemed,e94e
,Shemer,e697
,shield,e388
,Shikkeron,e542
,Shimrath,e94f
,Shimshai,e8ee
,Sholmai,e8c9
,six,e291
,small,e19b
,snake,e30c
,soft,e268
,spot,ed01
,stair,e0d9
,star,e0c3
,start,e231
,stick,e398
,storm,e27c
,straight,e313
,stretch,e31c
,string,ecc7
,sun,e15f
,sweet,e30d
,sword,e282
,table,e280
,Tadmor,e866
,Tebah_village,e742
,ten,e295
,thing,e105
,thorn,e27b
,thousand,e296
,three,e28e
,throw,e327
,tie,e30e
,Tikvah,e68f
,time,e16a
,together_people,e126
,tool,eb34
,tower,e30f
,tree,e244
,two,e28d
,up,e315
,Uzai,e877
,valley,eba7
,very,e211
,walk,e256
,wall,e288
,war,e283
,water,e247
,whip,e310
,window,e311
,woman,e008
,work,e08c
,you,e314
,Zabud,e5ae
,zero,e28b
