,"","            PERSON                  ",,,,"            ","","            PERSON                  ",,,,"            ","","            PERSON                  ",,,,"            ","","            PERSON                  ",,,,"            ","","            PERSON                  ",,,"            ","    ","","ME ",,,
"","person","","breast (in front, body)","","comfort (love, peace)","","Sex (body, arrow, up)","","census (number, person, land)","","writer author scribe (person, pen)","","make create (hand, person)","","lead leader manage (forward, person)","","fisherman (fish, person)","","stay remain (person, straight)","","kneel","","magician (deceive, man, eye) ","","skull (bone, head)","","Pentecost (fire, head)","","heavy (rock, help)","","me I","","self (very, me)","  ","you"
"","people (person, person)","","head ","","flesh (soft, person)","","pregnant (body, child) ","","country nation (people, big, land)","","sower farmer (person, seed)","","build (house, make) ","","council (lead)","","shepherd (person,sheep)","","wait (stay, time)","","move (person, go)","","help (straight, people)","","pillow cushion (soft, head)","","horn ( head, bone, animal)","","sorcery (no, help, spirit)","","us we","","name (mouth, me)","","testimony witness (mouth, you)"
"","they them (person)","","neck","","circumcise circumcision (flesh, knife)","","birth born (start, person)","","citizen (very, person, land)","","carpenter (person, hand, tree)","","fix (make, good)","","follow (person, lead)","","pastor (cross, shepherd)","","with (person, same)","","paralyze (person, no, go)","","helper attendant (person, help)","","last (end)",,,,,"","remember (know, you)","","humble humililty (small, mouth, me)","","envy covet (desire, you, thing) "
"","crowd multitude (person)","","who (question mark, person)","","eunuch (very, circumcise)","","human nature (birth, road)","","countrymen (friend, land)","","doctor healer (person, heal)","","clothe to clothe (person, clothing)","","disciple (person, follow)","","messenger (person,mouth)","","bear with (very, with)","","become person (change, person)","","save rescue (very, help)",,,,,,,"","mirror (thing, eye, me)","","boast pride proud (big, mouth, me)","","steal (have, thing, no, you)"
"","shoulder (person)","","together people gathered people (person)","","tribe (together people, same)","","baby (very, child)","","foreigner gentile sojourner (person, no, land)","","robber thief (person, steal) ","","own (person, have)","","another next (person, after)","","teacher (person, teach) ","","slave (person, chain)","","transfiguration transfigure (spirit, become person)","","Savior (person, save)",,,,,,,"","ashamed (quiet, shame)","","shame humiliate (know, bad, me) ","","robber thief (person, steal)"
"","arm","","everyone (all, person)","","dove (bird, peace) ","","milk (cup, breast)","","miracle (impossible, good) ","","prisoner (chain, person)","","priest (cross, person)","","elder (wisdom, lead)","","evangelist (person, mouth, gospel) ","","sinner (person, sin)","","heal (make, health)","","salvation (God, save) ",,,,,,,"","jealous man (person, desire, you)","","trust (assurance, you)","","betray betrayal (no, trust) "
"","waist (person)","","sleep rest lie down (person)","","wild (no, peace) ","","child (small, person)","","who (question mark, person)","","kill destroy destruction (person, knife)","","stand (person, up)","","centurion (lead, war)","","preacher (person, preach) ","","mercy (love, person, bad) ","","godly righteous person saint (person, righteous)","","Appoint (king, call, person)",,,,,,,"","owe (buy, no, money)",,,,
"","leg (person)","","bed mattress (sleep, straight)","","lunatic (know, wild)","","children (small, people)","","member (people, house)","","murderer (person, kill)","","lust sensuality sexual desire (sex,  eye)","","soldier (person, war)","","apostle (person, mouth, Jesus)","","encourage (love, help)","","servant deacon (person, serve)","","anointed (person, oil)",,,,,,,,,,,,
"","foot (person)","","dream vision (eye, sleep)","","argument (mouth, wild) ","","shade (sun, straight, person )","","elect (choose, people)","","crucify (cross, kill)","","adopt adoption (receive, child)","","cohort army (many,  soldier)","","ambassador (person, king, mouth)","","health healthy (body, happy)","","baptize baptism (water, person)","","fat animal (animal, big, flesh)",,,,,,,,,,,,
"","toe (foot, part)","","awake (end, sleep)","","friend (person, love)","","soul (person, spirit)","","hire (person, money)","","strangled (neck, hand)","","adultery (lust, go)","","armor (body, metal)","","prophet (person, prophesy)","","Trouble (have, no, peace)","","generation (time, same, people)","","first (start)",,,,,,,,,,,,
"","Christian  Believer (follow, Jesus)","","weary (very, no, sleep)","","enemy (person, hate)","","ceremony (people, believe)","","vendor (person, sell)","","flood (water, kill)","","jealous man (person, desire, you)","","breastplate (shield, body)","","philosopher (person, because) ",,"","Person - Proper Nouns throughout Scripture",,,,,,,,,,,,,,,
"","miracle (impossible, good) ","","Sabbath (seven, sun, sleep)","","reconcile (straight, friend) ","","deceiver hypocrite (person, wrong, believe)","","tax collector (person, tax) ",,,"","jealous God (God, desire, person)","","spy (person, eye, mute )","","descendant (future, children)","","Creator (God, make)","","Christ Messiah (Jesus, person, anointed) ","","Christian Believer (follow, Jesus)",,,,,,,,,,,,
"","peace (sleep, love)","","share (friend, hand)",,,"","burn burnt (fire, kill )",,,,,"","leprosy ","","avenge revenge vengeance (backward, good, make)","","fat (big, flesh)","","creation (God, make, all)","","jealous God (God, desire, person)",,,,,,,,,,,,,,
