,air,e312
,all,e251
,anger,e204
,animal,e102
,arise,e322
,around,e31b
,backward,e325
,banner,e2b1
,belt,e29d
,big,e120
,bird,e25c
,boat,e265
,bone,e0b2
,book,e22a
,bowl,e384
,box,e29e
,building,e0a1
,camel,e29f
,chain,e25f
,chair,e298
,change,e31e
,closed,e23f
,clothing,e253
,color,e284
,cow,eb36
,cross,e038
,cup,e274
,deep,e321
,direction,e323
,door,e23e
,down,e319
,ear,e299
,eight,e293
,end,e232
,eye,e238
,face,e203
,fire,e301
,fish,e263
,five,e290
,flip,e31d
,flower,eb24
,fly,e25b
,forward,e318
,four,e28f
,fruit,e27e
,gathered,e108
,go,e381
,good,e096
,grain,e279
,grass,ea33
,half,ea22
,hand,e071
,heart,e29a
,hole,e302
,horse,e303
,house,e171
,insect,e304
,Joda,e91f
,king,e028
,knife,e24e
,know,e062
,land,e153
,left,e0f4
,love,e01a
,man,e000
,many,e198
,me,e166
,measure,e305
,metal,eb28
,money,e029
,moon,e272
,mountain,e306
,mouth,e03f
,near,e300
,net,e307
,new,e308
,nine,e294
,no,e17c
,nose,e309
,number,e0b7
,one,e28c
,or,e106
,part,e29b
,pen,e29c
,people,e127
,period,e37e
,person,e11f
,pig,e30a
,pn,ed11
,pos,e390
,questionmark,e316
,right,e0f3
,river,e30b
,road,e23c
,sad,e207
,same,e24b
,seven,e292
,shake,e27d
,sheep,e270
,shield,e388
,six,e291
,small,e19b
,snake,e30c
,soft,e268
,spot,ed01
,stair,e0d9
,star,e0c3
,start,e231
,stick,e398
,storm,e27c
,straight,e313
,stretch,e31c
,string,ecc7
,sun,e15f
,sweet,e30d
,sword,e282
,table,e280
,ten,e295
,thing,e105
,thorn,e27b
,thousand,e296
,three,e28e
,throw,e327
,tie,e30e
,time,e16a
,together_people,e126
,tool,eb34
,tower,e30f
,tree,e244
,two,e28d
,up,e315
,valley,eba7
,very,e211
,walk,e256
,wall,e288
,war,e283
,water,e247
,whip,e310
,window,e311
,woman,e008
,work,e08c
,you,e314
,Zadok,ea6d
,zero,e28b
