"","Aaron","eb0d"
"","Abarim","e38b"
"","Abda","e7e3"
"","Abdeel","e8fc"
"","Abdi","e698"
"","Abdiel","e626"
"","Abdon_man","e51c"
"","Abdon_village","e605"
"","Abeizer","e557"
"","Abel","ea96"
"","Abel_Beth_Maakah","e5cb"
"","Abel_Keramim","e558"
"","Abel_Meholah","e5c3"
"","Abel_Mizraim","efa9"
"","Abiasaph","e2dd"
"","Abiathar","e35f"
"","Abida","eef8"
"","Abidan","e1f7"
"","abide","e17b"
"","Abiel","e7dc"
"","Abiezer","e464"
"","Abigail","e5c4"
"","Abihail_man","e1f8"
"","Abihail_woman","ef15"
"","Abihu","e2de"
"","Abihud","e699"
"","Abijah_man","ea5b"
"","Abijah_woman","e613"
"","Abilene","ec4d"
"","Abimael","e0fb"
"","Abimelech","e0ab"
"","Abinadab","e4e6"
"","Abinoam","e56b"
"","Abiram","e480"
"","Abishag","e4ac"
"","Abishai","e6cb"
"","Abishua","e69a"
"","Abishur","e753"
"","Abital","e721"
"","Abitub","e65f"
"","Abiud","ea6a"
"","Abner","e484"
"","abomination","e0a4"
"","about","e11b"
"","above","e110"
"","Abraham","e373"
"","Abram","e1d1"
"","Abronah","e3d6"
"","Absalom","e4ad"
"","abyss","ec4e"
"","according_to","e24d"
"","accuse","e055"
"","Achaia","eb7c"
"","Achaicus","eca5"
"","Achan","e4f5"
"","Achim","ea6e"
"","Achish","e45e"
"","Achor","e4cc"
"","Adadah","e4cd"
"","Adah","eda7"
"","Adaiah","e5f4"
"","Adam_man","ec4f"
"","Adam_village","e4f6"
"","Adamah","e5a1"
"","Adami_Nekeb","e5b1"
"","Adbeel","e0fe"
"","Addar","e4ce"
"","Addi","ec50"
"","Addumim","e4cf"
"","Adiel","e5f5"
"","Adin","e826"
"","Adina","e7fc"
"","Adithaim","e4d0"
"","Adlai","e87b"
"","Admah","eda8"
"","Admin","ec51"
"","Adnah","e782"
"","Adoni_Zedek","e427"
"","Adonijah","e4ae"
"","Adoniram","e7e4"
"","adopt","e177"
"","Adoraim","e74f"
"","Adrammelek","e6a2"
"","Adramyttium","eb93"
"","Adriatic_Sea","ec17"
"","Adriel","e5c5"
"","Adullam","efaa"
"","adultery","e027"
"","Aeneas","ec2a"
"","Aenon","eba1"
"","afraid","e056"
"","after","e11d"
"","Agabus","eb89"
"","Agag","e3e0"
"","against","e330"
"","Agee","e7f1"
"","Agrippa","eb9d"
"","Agur","e6c8"
"","Ahab","e60d"
"","Aharhel","e722"
"","Ahasbai","e7f2"
"","Ahasuerus","e48f"
"","Ahava","e975"
"","Ahaz","ea61"
"","Ahaziah","e614"
"","Ahban","e754"
"","Ahi","e627"
"","Ahiam","e7fd"
"","Ahian","e757"
"","Ahiezer","e2ab"
"","Ahihud","e3e1"
"","Ahijah","e7e5"
"","Ahikam","e689"
"","Ahilud","e7e6"
"","Ahimaaz","e7e7"
"","Ahiman","e2ac"
"","Ahimelech","e45f"
"","Ahimoth","e660"
"","Ahinadab","e7e8"
"","Ahinoam","e7e9"
"","Ahio","e5f6"
"","Ahira","e2f4"
"","Ahiram","e3a1"
"","Ahisamak","e0bb"
"","Ahishahar","e758"
"","Ahishar","e960"
"","Ahithophel","e7f3"
"","Ahitub","e7dd"
"","Ahlab","e56c"
"","Ahlai","e759"
"","Ahumai","e723"
"","Ahuzzam","e724"
"","Ahuzzath","eda9"
"","Ahzai","e87f"
"","Ai","edaa"
"","Aiah","e0fd"
"","Aijalon","e428"
"","Ain","e3e6"
"","air","e312"
"","Akan","efe5"
"","Akbor","e0ed"
"","Akkad","edab"
"","Akko","e56d"
"","Akkub","e725"
"","Akrabbim","e3d7"
"","Aksah","e4d1"
"","Akshaph","e43b"
"","Akzib","e48e"
"","alabaster","e0d4"
"","Alemeth_man","e5f8"
"","Alexander","ea14"
"","Alexandria","eb5a"
"","alive","e09f"
"","all","e251"
"","Allammelek","e5a9"
"","Allon","e700"
"","Allon_Bakuth","efab"
"","allow","e04a"
"","Almodad","edac"
"","Almon","e4f7"
"","Almon_Diblathaim","e3d8"
"","alone","e223"
"","Alphaeus","ec24"
"","altar","ea3c"
"","Alush","e3d9"
"","Alvah","efe6"
"","Alvan","efe8"
"","always","e252"
"","Amad","e59a"
"","Amal","e75a"
"","Amalek_man","efe9"
"","Amam","e4d2"
"","Amariah","e526"
"","Amasa","e961"
"","Amasai","e661"
"","Amashsai","e880"
"","Amasiah","e783"
"","amazed","e14a"
"","Amaziah","e450"
"","ambassador","ebfd"
"","amen","e100"
"","Amittai","e1cf"
"","Ammah","e6d3"
"","Ammiel","e2ad"
"","Ammihud","e2ae"
"","Amminadab","ea51"
"","Ammishaddai","e2af"
"","Ammizabad","e87c"
"","Ammon","edae"
"","Amnon","e727"
"","Amok","e881"
"","Amon","ea64"
"","Amorites","edaf"
"","Amos","ec47"
"","Amoz","e5ca"
"","Amphipolis","eb2e"
"","Ampliatus","ebb9"
"","Amram","e2df"
"","Amraphel","edb1"
"","Anab","e4d3"
"","Anah","e0ba"
"","Anaharath","e59b"
"","Anaiah","ef29"
"","Anak","e2b0"
"","Anam","edb2"
"","Anan","e882"
"","Anani","e702"
"","Ananiah_man","e883"
"","Ananiah_village","ef27"
"","Ananias","eb65"
"","Anath","e56e"
"","Anathoth_man","e75b"
"","Anathoth_village","e4f8"
"","ancestor","ec80"
"","and","e11c"
"","Andrew","e357"
"","Andronicus","ebba"
"","Aner_man","edb3"
"","angel","e0a7"
"","anger","e204"
"","Aniam","e75c"
"","Anim","e4d4"
"","animal","e102"
"","Anna","eb02"
"","Annas","eb63"
"","anointed","e033"
"","another","ebf2"
"","Anthothijah","e662"
"","Antichrist","ed0e"
"","Antioch","eb58"
"","Antipas","ec01"
"","Antipatris","eb9a"
"","Anub","e703"
"","Apelles","ebbb"
"","Aphek","e43c"
"","Aphekah","e4d5"
"","Aphiah","e6cc"
"","Apollonia","eb30"
"","Apollos","eb3e"
"","apostle","ebef"
"","Appaim","e75d"
"","Apphia","ecf1"
"","appointed","e041"
"","Aquila","eb17"
"","Ar","e3a2"
"","Ara","e75e"
"","Arab","e4d6"
"","Arabia","eb77"
"","Arad_man","e3a3"
"","Arad_village","e3e7"
"","Arah_land","e545"
"","Arah_man","e75f"
"","Aram_man","edb4"
"","Aran","e0fa"
"","Ararat","edb5"
"","Araunah","e7f4"
"","Archippus","ece7"
"","Ard","e0ff"
"","Ardon","e760"
"","Areli","efac"
"","Areopagus","ec35"
"","Aretas","eca6"
"","Argob_land","e495"
"","Argob_man","e71e"
"","argument","e057"
"","Arieh","e6a3"
"","Ariel","e7fe"
"","Arimathea","e34d"
"","Arioch","edb6"
"","arise","e322"
"","Aristarchus","ec10"
"","Aristobulus","ebbc"
"","Arkites","edb7"
"","arm","e14e"
"","Armoni","e752"
"","armor","ebbd"
"","Arnan","e704"
"","Arni","ec52"
"","Arnon","e2f5"
"","Arodi","e168"
"","Aroer","e3c5"
"","around","e31b"
"","Arpad","e615"
"","Arphaxad","ec53"
"","arrow","ecbf"
"","Artaxerxes","e884"
"","Artemas","ec34"
"","Arubboth","e962"
"","Arumah","e56f"
"","Arvad","edb8"
"","Arza","e690"
"","Asa","ea5c"
"","Asahel","e6d4"
"","Asaiah","e5f9"
"","Asaph","e5fa"
"","Asarel","e705"
"","Asenath","efad"
"","ash","ea90"
"","ashamed","e05f"
"","Ashan","e4d7"
"","Asharelah","e87d"
"","Ashbel","efae"
"","Ashdod","e451"
"","Asher_land","e606"
"","Asher_man","ebde"
"","Asherah","e0bc"
"","Ashhur","ebdd"
"","Ashkelon","e452"
"","Ashkenaz","edb9"
"","Ashnah","e4d8"
"","Ashpenaz","e867"
"","Ashtaroth","e429"
"","Ashteroth_Karnaim","edba"
"","Ashur_land","e0ef"
"","Ashur_man","edbb"
"","Ashurbanipal","e923"
"","Ashvath","e761"
"","Asia","eb6f"
"","Asiel","e706"
"","Asnah","e827"
"","Asriel","e3a4"
"","Asshurites","e1ef"
"","Assir","e2bf"
"","Assos","eb20"
"","assurance","e070"
"","Assyria","edbc"
"","Asyncritius","ebbe"
"","Atad","efaf"
"","Atarah","e762"
"","Ataroth","e3c6"
"","Ataroth_Addar","e465"
"","Ataroth_Shophan","e3c7"
"","Ater","e828"
"","Athaiah","e885"
"","Athaliah_man","e663"
"","Athaliah_woman","e616"
"","Atharim","e3a5"
"","Athens","eb07"
"","Athlai","e924"
"","Attai","e750"
"","Attalia","eb31"
"","authority","e034"
"","avenge","ed0c"
"","Avith","efea"
"","Avvites","e496"
"","awake","ec54"
"","away","e11e"
"","Awel_Marduk","e7cc"
"","Azaliah","e68a"
"","Azaniah","e886"
"","Azarel","e7ff"
"","Azariah","e972"
"","Azariahu","e989"
"","Azaz","ef20"
"","Azaziah","e763"
"","Azbuk","e8ed"
"","Azekah","e42a"
"","Azel","e5fb"
"","Azgad","e829"
"","Aziza","e8d9"
"","Azmaveth_man","e5fc"
"","Azmaveth_village","e5c7"
"","Azmon","e3da"
"","Azor","ea6c"
"","Azotus","eb7e"
"","Azriel","e628"
"","Azrikam","e5fd"
"","Azubah","e69c"
"","Azzan","e3e2"
"","Azzur","e887"
"","Baal","ebbf"
"","Baal_Gad","e44b"
"","Baal_Hanan","e169"
"","Baal_Hazor","e7f5"
"","Baal_man","e5fe"
"","Baal_Meon","e3c8"
"","Baal_Shalishah","e6a4"
"","Baal_Zephon","e0bd"
"","Baalah","e4d9"
"","Baalis","e8fd"
"","Baanah","e488"
"","Baara","e664"
"","Baaseiah","e665"
"","Baasha","e5cc"
"","baby","e0a6"
"","Babylon","ea67"
"","backward","e325"
"","bad","e17d"
"","bag","e26f"
"","Bahurim","e963"
"","Bakbakkar","e5ff"
"","Bakbuk","e82a"
"","Bakbukiah","e888"
"","Balaam","eca1"
"","Baladan","e6a5"
"","Balak","ebff"
"","Bamoth_land","e3c0"
"","Bani","e600"
"","bank","ec55"
"","banner","e2b1"
"","baptize","e24a"
"","Barabbas","e36d"
"","Barachiah","ea97"
"","Barak","ed02"
"","Barakel","e862"
"","Bariah","e728"
"","Barkos","e82b"
"","Barnabas","ec2f"
"","Barsabbas","eb69"
"","Bartholomew","e362"
"","Bartimaeus","e36b"
"","Baruch","e889"
"","Barzillai","e964"
"","Basemath","edbd"
"","Bashan","e3a6"
"","basket","e19f"
"","Bathsheba","e4af"
"","Bazluth","e82c"
"","Bealiah","e800"
"","Bealoth","e4da"
"","bear","ecef"
"","bear_with","e227"
"","beast","e103"
"","beat","e0e4"
"","beauty","ea4a"
"","Bebai","e82d"
"","because","e066"
"","become_person","e83a"
"","become_thing","e839"
"","bed","e122"
"","Bedad","e1ee"
"","Bedeiah","e8da"
"","Beer","e3a7"
"","Beer_Lahai_Roi","eef9"
"","Beerah","e629"
"","Beeri","edbe"
"","Beeroth","e42b"
"","Beersheba","edbf"
"","before","e107"
"","beg","e21e"
"","behind","e116"
"","Beker","efb1"
"","Bekorath","e6cd"
"","Bela_man","e1ed"
"","Bela_village","edc1"
"","believe","e06f"
"","bell","e0be"
"","Belshazzar","e868"
"","belt","e29d"
"","Ben_Abinadab","e965"
"","Ben_Ammi","edc2"
"","Ben_Deker","e966"
"","Ben_Hadad","e453"
"","Ben_Hail","e784"
"","Ben_Hanan","e708"
"","Ben_Hesed","e967"
"","Ben_Hinnom","e4db"
"","Ben_Hur","e968"
"","Ben_oni","e1a4"
"","Ben_Zoheth","ef33"
"","Benaiah","e4b0"
"","Bene_Berak","e59c"
"","Bene_Jaakan","e3db"
"","Beninu","e88a"
"","Benjamin_land","e5cd"
"","Benjamin_man","eb4b"
"","Beno","e7d1"
"","Beon","e3c9"
"","Beor","eda3"
"","Bera","edc3"
"","Beraiah","e666"
"","Berakah","e801"
"","Berea","eb13"
"","Bered_city","e2d0"
"","Bered_man","efb2"
"","Berekiah","e977"
"","Beri","e764"
"","Beriah","efb3"
"","Bernice","eb9e"
"","Berothai","e718"
"","Besai","e82e"
"","beside","e117"
"","Besodeiah","ef28"
"","best","e21f"
"","Beten","e59d"
"","Beth_Anath","e4dc"
"","Beth_Arabah","e4b8"
"","Beth_Arbel","e6c4"
"","Beth_Ashbea","e709"
"","Beth_Aven","e546"
"","Beth_Baal_Meon","e547"
"","Beth_Barah","e571"
"","Beth_Dagon","e4b9"
"","Beth_Diblathaim","e8fe"
"","Beth_Eden","e454"
"","Beth_Emek","e59e"
"","Beth_Ezel","e43a"
"","Beth_Gamul","e8ff"
"","Beth_Hakkerem","e88b"
"","Beth_Haran","e479"
"","Beth_Hoglah","e4ba"
"","Beth_Horon","e42c"
"","Beth_Jeshimoth","e3dc"
"","Beth_Leaphrah","e491"
"","Beth_Markaboth","e59f"
"","Beth_Meon","e900"
"","Beth_Millo","e572"
"","Beth_Pazzez","e5a0"
"","Beth_Pelet","e4bb"
"","Beth_Peor","e423"
"","Beth_Rapha","e70a"
"","Beth_Shan","e4e7"
"","Beth_Shemesh","e4f9"
"","Beth_Shittah","e573"
"","Beth_Zur_city","e766"
"","Beth_Zur_man","eb79"
"","Bethany","e349"
"","Bethel","edc4"
"","Bethesda","eba0"
"","Bethlehem_man","e765"
"","Bethlehem_village","ea45"
"","Bethphage","e348"
"","Bethsaida","e340"
"","Bethuel_city","e1e0"
"","Bethuel_man","e1a0"
"","Betonim","e548"
"","betray","e195"
"","better","e09e"
"","between","e118"
"","Bezalel","e0bf"
"","Bezek","e574"
"","Bezer_man","e767"
"","Bezer_village","e466"
"","Bible","e22c"
"","Bidkar","e617"
"","big","e120"
"","Bigthana","e492"
"","Bigvai","e82f"
"","Bikri","e719"
"","Bildad","e7c8"
"","Bilgah","e7d2"
"","Bilgai","e88c"
"","Bilhah_village","e707"
"","Bilhah_woman","eefa"
"","Bilhan","efeb"
"","Bilshan","e830"
"","Bimhal","e768"
"","Binea","e601"
"","Binnui","e88d"
"","bird","e25c"
"","Birsha","edc5"
"","birth","e235"
"","Birzaith","e769"
"","Bishlam","e8db"
"","Bithiah","ef13"
"","Bithynia","eb48"
"","bitter","ecd2"
"","Biziothiah","e4bc"
"","black","eb86"
"","blasphemy","e05b"
"","Blastus","eb8d"
"","bless","e05c"
"","blessed","ea21"
"","blind","e192"
"","blood","e087"
"","blue","ecda"
"","boast","e14b"
"","boat","e265"
"","Boaz","ea54"
"","body","e143"
"","Bohan","e4bd"
"","Bokeru","e602"
"","Bokim","e575"
"","bone","e0b2"
"","book","e22a"
"","bottom","e119"
"","bow","e210"
"","bow_arrow","ecc8"
"","bowl","e384"
"","box","e29e"
"","boy","e001"
"","boys","e002"
"","Bozkath","e4be"
"","Bozrah","efec"
"","branch","e246"
"","brave","e196"
"","bread","e05d"
"","break","e0e1"
"","breast","e2db"
"","breastplate","ecd5"
"","breath","ecee"
"","bribe","ebdb"
"","brick","eefb"
"","bride","e015"
"","bright","e21b"
"","bring","e088"
"","bronze","eb2c"
"","brother","e006"
"","brothers","e007"
"","Bubastis","e922"
"","build","e17a"
"","building","e0a1"
"","Bukki","e3e3"
"","Bunah","e76a"
"","Bunni","e88e"
"","burden","ec86"
"","burn","ecd0"
"","bury","e0d7"
"","but","e11a"
"","buy","e32a"
"","Buz","e1a5"
"","Buzi","e8f1"
"","Caesar","e370"
"","Caesarea","e346"
"","Caiaphas","ea77"
"","Cainan","ec56"
"","Calah","edc6"
"","Caleb","e2b2"
"","call","e040"
"","camel","e29f"
"","Cana","eba2"
"","Canaan_land","e33d"
"","Canaan_man","edc7"
"","Candace","eb85"
"","Capernaum","e33a"
"","Cappadocia","eb74"
"","Carchemish","e714"
"","careful","e19e"
"","Carmel","e43d"
"","carpenter","e14f"
"","Carpus","ecad"
"","case","ec87"
"","catch","e115"
"","Cauda","ec36"
"","cave","eda6"
"","Cenchrea","eb3d"
"","census","e0b8"
"","centurion","eb7a"
"","ceremony","ec88"
"","chain","e25f"
"","chair","e298"
"","Chaldea","eb0e"
"","change","e31e"
"","chapter","e230"
"","chariot","ec82"
"","Chemosh","e3a8"
"","chew_cud","e2da"
"","child","e200"
"","children","e201"
"","Chios","eb22"
"","Chloe","ebe2"
"","choose","e021"
"","Chorazin","ea8f"
"","Christ","e334"
"","Christian","eb90"
"","Chronicles","e419"
"","church","ebfc"
"","Chuza","ec57"
"","Cilicia","eb5b"
"","circle","ee06"
"","circumcise","e250"
"","citizen","eb98"
"","Claudia","ecae"
"","Claudius","eb8a"
"","clay","ebec"
"","clean","e248"
"","Clement","ece3"
"","Cleopas","ec58"
"","cloak","ea76"
"","Clopas","ebb5"
"","closed","e23f"
"","clothe","e147"
"","clothing","e253"
"","cloud","e26e"
"","Cnidus","ec14"
"","cohort","e148"
"","cold","e0f2"
"","color","e284"
"","Colossae","ece8"
"","come","e25a"
"","comfort","ea3b"
"","comma","ee01"
"","command","e058"
"","complete","ecec"
"","concubine","eefc"
"","condemn","ea7f"
"","confuse","eb08"
"","control","e332"
"","Corinth","ea59"
"","Cornelius","eb81"
"","corner","eb83"
"","cornerstone","e21c"
"","correct","e09a"
"","Cosam","ec59"
"","couch","eb5f"
"","council","e0f7"
"","country","e0a2"
"","countrymen","e157"
"","countryside","eb96"
"","courtyard","e0f6"
"","covenant","e21d"
"","cover","e39a"
"","cow","eb36"
"","creation","ebc3"
"","Creator","ec22"
"","Crescan","ecaf"
"","Crete","ec8d"
"","Crispus","eb3a"
"","crooked","eb39"
"","cross","e038"
"","crowd","e128"
"","crown","eda4"
"","crucify","e03c"
"","crush","e146"
"","cry","e20c"
"","cup","e274"
"","curse","e05a"
"","curtain","e254"
"","Cush_land","e1e2"
"","Cush_man","edca"
"","Cushan_Rishathaim","e47b"
"","Cushi","e610"
"","custom","eb10"
"","cymbal","ebe3"
"","cypress","edcb"
"","Cyprus","eb88"
"","Cyrene","eb59"
"","Cyrus","e831"
"","Dabbesheth","e5a2"
"","Dagon","e4e8"
"","Dalmanutha","e344"
"","Dalmatia","ecb1"
"","Damaris","eb37"
"","Damascus","ec31"
"","Dan_land","edcc"
"","Dan_man","edcd"
"","dance","e259"
"","Daniel","ea78"
"","Dannah","e4bf"
"","Darda","e969"
"","Darius","e490"
"","dark","ea17"
"","Darkon","e832"
"","Dathan","e2f7"
"","daughter","e00c"
"","daughters","e00d"
"","David","e35e"
"","dead","e181"
"","deaf","e191"
"","Debir_city","e43e"
"","Debir_man","e42d"
"","Deborah","efb5"
"","Decapolis","e33e"
"","deceive","e17f"
"","deceiver","e152"
"","Dedan_man","edce"
"","Dedan_village","e7ca"
"","deep","e321"
"","deer","efb6"
"","Delaiah","e70c"
"","Delilah","e576"
"","Demes","ecb2"
"","Demetrius","eb1a"
"","demon","eb87"
"","denarius","e165"
"","deny","e0e5"
"","Derbe","eb43"
"","descend","e317"
"","descendant","eb60"
"","desire","e020"
"","Deuel","e2b3"
"","Diblaim","e595"
"","Dibon","e3a9"
"","Dibon_Gad","e3e8"
"","Dibri","e2ef"
"","Didymus","ebb6"
"","different","ecff"
"","difficult","e093"
"","Diklah","e1ac"
"","Dilean","e4c0"
"","Dimonah","e4c1"
"","Dinah","efb7"
"","Dinhabah","efed"
"","Dionysius","eb78"
"","Diotrephes","ece2"
"","direction","e323"
"","dirt","e15b"
"","dirty","e249"
"","disciple","e142"
"","discipline","eda5"
"","discourage","e261"
"","Dishan","e1ec"
"","Dishon","efee"
"","disobey","e193"
"","divide","e326"
"","divorce","ea3d"
"","Dizahab","e481"
"","doctor","e144"
"","Dodanim","edcf"
"","Dodavahu","e812"
"","Dodo","e51d"
"","Doeg","e460"
"","dog","e104"
"","dominion","e032"
"","donkey","ea09"
"","door","e23e"
"","Dophkah","e3dd"
"","Dor","e43f"
"","Dorcas","ec2c"
"","Dothan","efa3"
"","doubt","e194"
"","dough","ea36"
"","dove","e25e"
"","down","e319"
"","dragon","ecdf"
"","dream","ea80"
"","drunk","ea8d"
"","Drusilla","eb9c"
"","dry","e188"
"","Dumah_man","eefd"
"","Dumah_village","e64e"
"","dust","e15d"
"","eagle","ecc9"
"","ear","e299"
"","earn","e0f5"
"","earthquake","e159"
"","east","ea38"
"","easy","e092"
"","eat","e053"
"","Ebal","efef"
"","Ebed","e577"
"","Ebed_Melek","e901"
"","Eber_land","e497"
"","Eber_man","ec5a"
"","Ebez","e5a3"
"","Ecbatana","e833"
"","Eden_garden","edd2"
"","Eden_man","e1e9"
"","Eden_village","e6a6"
"","Eder_man","e76b"
"","Eder_village","e4c2"
"","Edom_land","e1a7"
"","Edom_man","e1a6"
"","Edrei","e474"
"","egg","e482"
"","Eglah","e70d"
"","Eglaim","e8b9"
"","Eglon_man","e60c"
"","Eglon_village","e42e"
"","Egypt","ea44"
"","Ehi","efb8"
"","Ehud","e578"
"","eight","e293"
"","Eker","e76c"
"","Ekron","e455"
"","El","edd3"
"","El_Elohe","e1e4"
"","Elah","e1a9"
"","Elam_land","eb6d"
"","Elam_man","edd4"
"","Elath","e498"
"","Eldaah","e1e3"
"","Eldad","e2b4"
"","elder","eb62"
"","Elead","e76d"
"","Eleadah","e76e"
"","Elealeh","e3ca"
"","Eleasah","e603"
"","Eleazar","ea70"
"","elect","ec9f"
"","Elhanan","e70e"
"","Eli","ec44"
"","Eliab","e2b5"
"","Eliada","e5cf"
"","Eliahba","e802"
"","Eliakim","ea6b"
"","Eliashib","e70f"
"","Eliathah","e855"
"","Elidad","e3e4"
"","Eliehoenai","e667"
"","Eliel","e62a"
"","Elienai","e668"
"","Eliezer","ec5b"
"","Elihoreph","e96a"
"","Elihu","e4e9"
"","Elijah","e36a"
"","Elika","e7f6"
"","Elim","e0ca"
"","Elimelek","e41e"
"","Eliphaz","eff1"
"","Eliphelehu","e76f"
"","Eliphelet","e669"
"","Elisha","ec5c"
"","Elishama","e2b7"
"","Elishaphat","e919"
"","Elisheba","e3b5"
"","Elishua","e6d6"
"","Eliud","ea6f"
"","Elizabeth","ec3a"
"","Elizaphan","e2b8"
"","Elizur","e1fa"
"","Elkanah","e2c0"
"","Elkosh","e378"
"","Ellasar","edd6"
"","Elmadam","ec5d"
"","Elnaam","e803"
"","Elnathan","e6a7"
"","Elon","edd7"
"","Elpaal","e66a"
"","Eltekeh","e4fa"
"","Eltekon","e4c3"
"","Eltolad","e4c4"
"","Eluzai","e804"
"","Elzabad","e66b"
"","Elzaphan","e2f0"
"","Emek_Keziz","e64f"
"","Emites","efa8"
"","Emmaus","ec5e"
"","empty","e277"
"","En_Eglaim","e8f2"
"","En_Gannim","e4fb"
"","En_Gedi","e4c5"
"","En_Haddah","e5a4"
"","En_Rogel","e4b1"
"","En_Shemesh","e4c6"
"","Enam","e4c7"
"","Enan","e2b9"
"","encourage","e262"
"","end","e232"
"","Endor","e467"
"","endure","e170"
"","enemy","e025"
"","Enoch","ec5f"
"","Enos","ec60"
"","enter","e242"
"","envy","e022"
"","Epaenetus","ebc1"
"","Epaphroditus","ece4"
"","Ephah_man","e1ad"
"","Ephah_woman","ef16"
"","Ephai","e902"
"","Epher","eefe"
"","Ephes_Dammim","e6ce"
"","Ephesus","ec0c"
"","Ephlal","e770"
"","Ephod","e475"
"","Ephraim_land","eba4"
"","Ephraim_man","eba3"
"","Ephrath","efba"
"","Ephrathah","e710"
"","Ephron_man","eeff"
"","Epicurean","ec05"
"","Er","ec61"
"","Eran","e3aa"
"","Erastus","ec0e"
"","Erech","edd9"
"","Eri","e1ae"
"","Esarhaddon","e6a8"
"","Esau","ebc2"
"","Esek","edda"
"","Eshan","e4c8"
"","Eshban","eff2"
"","Eshek","e66c"
"","Eshkol_land","e3cb"
"","Eshkol_man","eddb"
"","Eshtaol","e4c9"
"","Eshtemoa_man","e711"
"","Eshtemoa_village","e4fc"
"","Eshtemoh","e4ca"
"","Eshton","e712"
"","Esli","ec49"
"","Esther","e49f"
"","Etam","e579"
"","Eth_Kazin","e5a5"
"","Etham","e2c2"
"","Ethan","e95e"
"","Ethbaal","e915"
"","Ether","e4cb"
"","Ethiopia","ec32"
"","Ethnan","e713"
"","Ethni","e66d"
"","Eubulus","ecb3"
"","Eunice","ecb4"
"","eunuch","eb8f"
"","Euodia","ece5"
"","Euphrates_River","ecd8"
"","Eutychus","eb1f"
"","evangelist","e13f"
"","Eve","ebeb"
"","evening","e273"
"","everyone","e140"
"","everything","e114"
"","everywhere","e155"
"","Evi","e3c2"
"","example","ecf0"
"","exclamaition_point","ee02"
"","explain","e059"
"","eye","e238"
"","Ezbai","e805"
"","Ezbon","e1aa"
"","Ezekiel","e998"
"","Ezem","e508"
"","Ezer","e1ab"
"","Ezion_Geber","e3e9"
"","Ezra","e4df"
"","Ezri","e856"
"","face","e203"
"","Fair_Haven","ec18"
"","faithful","e219"
"","fall","e218"
"","family","e176"
"","famine","e18d"
"","far","e197"
"","farewell","ec83"
"","farm","eb91"
"","fast_no_eat","e18e"
"","fast_speed","e21a"
"","fat","ea86"
"","fat_animal","eb11"
"","father","e003"
"","feast","e054"
"","Felix","eb99"
"","festival","e20b"
"","fig","eda2"
"","fill","e278"
"","find","e101"
"","finger","eba5"
"","fire","e301"
"","first","e233"
"","fish","e263"
"","fisherman","e264"
"","five","e290"
"","fix","e09d"
"","flesh","e26b"
"","flip","e31d"
"","flood","ece0"
"","flour","ea35"
"","flower","eb24"
"","flute","ea8b"
"","fly","e25b"
"","follow","e13e"
"","fool","ea7c"
