,Aaron,,eb0d,"man: voice: mouth,said,speak,confession: ear,hear"
,Abaddon,Appolyon Abaddon,ecd7,"Man: kill,destroy,destruction: knife,cut: very: person"
,Abarim,,e38b,"Through,pass: mountain"
,Abel,,ea96,man: good
,Abel_Mizraim,,efa9,"Sad,grieve: village: many,much: neighbor: house: near,close"
,Abiasaph,,e2dd,"Man: together_people,gathered_people"
,Abiathar,,e35f,"man: harvest: hand: grain,wheat"
,Abida,,eef8,"Man: more: up: many,much: know,knowledge"
,Abidah,,e2f3,"Man: straight: know,knowledge"
,Abidan,,e1f7,Man: or
,abide,dwell abide,e17b,"house: alive,life,live: good: heart"
,Abiezer,,e464,
,Abihail,,e1f8,"Man: knife,cut: table"
,Abihu,,e2de,"Man:: small,few: quiet,silence"
,Abijah,,ea5b,"man: king,master,ruler,lord: love,compassion"
,Abilene,,ec4d,"grass: land,ground,earth,space"
,Abimael,,e0fb,"Man: no,not: king,master,lord,ruler: love,compassion"
,Abimelech,,e0ab,"Man: bad: no,not: good: lead,leader,manage: forward,to: person"
,Abiram,,e480,
,Abiud,,ea6a,"man: person: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Abner,,e484,
,abomination,,e0a4,"hate,enmity: love,compassion: no,not: thing"
,about,,e11b,thing
,above,over above,e110,up: thing
,Abraham,,e373,"man: many,much: man: love,compassion"
,Abram,,e1d1,"OT: man: man: love,compassion"
,Abronah,,e3d6,"Through,pass: above,over: land,ground,earth, space"
,Abyss,,ec4e,"no,not: end,finish: land,ground,earth,space"
,according_to,,e24d,"same,equal: mouth,said,speak,confession"
,accuse,criticize accuse revile,e055,"mouth,said,speak,confession: bad: no,not: good"
,Achaia,,eb7c,"pain,hurt: knife,cut: heart: land,ground,earth,space"
,Achaicus,,eca5,Man: cross: people
,Achim,,ea6e,"man: plan: know,knowledge: pen,write"
,Achish,,e45e,
,Adah,,eda7,Woman: good: face
,Adam,,ec4f,"man: dirt,soil,ground_soil: land,ground,earth,space"
,Adbeel,,e0fe,"Man: no,not: cry: sad,grieve: water,wet"
,Addi,,ec50,"man: mouth,speak,said,confession: me,i"
,Admah,,eda8,"Red: blood: hand: water,wet: color: village: many,much: neighbor: house: near,close"
,Admin,,ec51,"man: arise,ascend"
,Adoni_Zedek,,e427,
,adopt,adoption adopt,e177,"house: love,compassion: small,few"
,Adramyttium,,eb93,"run: walk: very : village: many,much: neighbor: house: near,close"
,Adriatic_Sea,,ec17,"ocean,sea: big: water,wet: no,not: tree,plant,wood"
,Adullam,,efaa,"story,parable,report,message,news: book,read,learn: mouth,said,speak,confession: village: many,much: neighbor: house: near,close"
,adultery,,e027,"love,compassion: bad: no,not: good: eye,see"
,Aeneas,,ec2a,"man: good: crooked: no,not: straight"
,Aenon,,eba1,"man: water,wet: go,travel,trip,journey"
,afraid,fear afraid worry,e056,"mouth,said,speak,confession: heart"
,after,,e11d,"thing: forward,to"
,Agabus,,eb89,man: insect
,Agag,,e3e0,"Man: cold: no,not: fire: fire"
,against,oppose against,e330,forward: backward
