,.,E37E,
,*,E390,
,Aaron,EB0D,"man: voice: mouth,said,speak,confession: ear,hear"
,Abaddon,ECD7,"Man: kill,destroy,destruction: knife,cut: very: person"
,Abel,EA96,man: good
,Abel_Mizraim,EFA9,"Sad,grieve: village: many,much: neighbor: house: near,close"
,Abiathar,E35F,"man: harvest: hand: grain,wheat"
,Abida,EEF8,"Man: more: up: many,much: know,knowledge"
,abide,E17B,"house: alive,life,live: good: heart"
,Abijah,EA5B,"man: king,master,ruler,lord: love,compassion"
,Abilene,EC4D,"grass: land,ground,earth,space"
,ability,E124,"big: knife,cut"
,Abimael,E0FB,"Man: no,not: king,master,lord,ruler: love,compassion "
,Abimelech,E0AB,"Man: bad: no,not: good: lead,leader,manage: forward,to: person"
,Abiud,EA6A,"man: person: praise: mouth,said,speak,confession: good"
,abomination,E0A4,"hate,enmity: love,compassion: no,not: thing"
,about,E11B,thing
,above,E110,up: thing
,Abraham,E373,"man: many,much: man: love,compassion"
,Abram,E1D1,"OT: man: man: love,compassion"
,Abyss,EC4E,"no,not: end,finish: land,ground,earth,space"
,according_to,E24D,"same,equal: mouth,said,speak,confession"
,accuse,E055,"mouth,said,speak,confession: bad: no,not: good"
,Achaia,EB7C,"pain,hurt: knife,cut: heart: land,ground,earth,space"
,Achaicus,ECA5,Man: cross: people
,Achim,EA6E,"man: plan: know,knowledge: pen,write"
,Adah,EDA7,Woman: good: face
,Adam,EC4F,"man: dirt,soil,ground_soil: land,ground,earth,space"
,Adbeel,E0FE,"Man: no,not: cry: sad,grieve"
,Addi,EC50,"man: mouth,speak,said,confession: me,i"
,Admah,EDA8,"Red: blood: hand: wet,water: color: village: many,much: neighbor: house: near,close"
,Admin,EC51,"man: arise,ascend"
,adopt,E177,"house: love,compassion: small,few"
,adoption,E177,"house: love,compassion: small,few"
,Adramyttium,EB93,"run: walk: very : village: many,much: neighbor: house: near,close"
,Adriatic_Sea,EC17,"ocean,sea: big: wet,water: no,not: plant,tree,wood"
,Adullam,EFAA,"story,parable,report,message,news: book,read,learn: mouth,said,speak,confession: village: many,much: neighbor: house: near"
,adultery,E027,"love,compassion: bad: no,not: good: eye,see"
,Aeneas,EC2A,"man: good: crooked: no,not: straight"
,Aenon,EBA1,"man: wet,water: go,travel,journey"
,afraid,E056,"mouth,said,speak,confession: heart"
,after,E11D,"thing: forward,to"
,Agabus,EB89,man: insect
,against,E330,forward: backward
,Agrippa,EB9D,"man: pain,hurt: knife,cut: heart"
,Ahaz,EA61,"man: hand: bad: no,not,: good"
,Ahuzzath,EDA9,man: thing
,Ai,EDAA,"kill,destroy,destruction: knife,cut: person: village: many,much: neighbor: house: near"
,Aiah,E0FD,"Man: small,few: rooster: bird: sun,day"
,air,E312,
,Akan,EFE5,"Man: change,turn"
,Akbor,E0ED,"Man: small,few: war,fight,battle"
,Akkad,EDAB,"Chain,bound,imprisoned,arrest: village: many,much: neighbor: house: near"
,alabaster,E0D4,"money,wealth,wealthy: hard: no,not: soft: thing"
,Alexander,EA14,man: shield: person
,Alexandria,EB5A,"save,rescue: very: help: straight: people: village: many,much: neighbor: house: near,close"
,alive,E09F,good: heart
,all,E251,
,Allon_Bakuth,EFAB," Cry: sad,grieve: tree,plant,wood"
,allow,E04A,"mouth,said,speak: king,master,ruler,lord"
,Almodad,EDAC,"Man: immeasurable: no,not: measure"
,alone,E223,very : one
,Alphaeus,EC24,"man: work,do"
,altar,EA3C,"table: gift: hand: love,compassion"
,Alvah,EFE6,"Man: lust: bad: no,not: good: eye,see"
,Alvan,EFE8,"Man: very: lust: bad: no: good: eye,see"
,always,E252,"all,whole: time,when"
,Amalek_man,EFE9,"Man: war,fight,battle: tongue: mouth,said,speak,confession: clothing,fabric"
,amazed,E14A,"big: praise: mouth,said,speak,confession: good"
,amazing,E14A,"big : praise: mouth.said,speak: good"
,ambassador,EBFD,"Eye,see: person: mouth,said speak,confession"
,amen,E100,"good: all,whole"
,Amittai,E1CF,"Man: fly: love,compassion"
,Amminadab,EA51,"man: free: no,not: chain,bound,arrest,imprisoned "
,Ammon,EDAE,"big: people: land,ground,earth,space"
,Amon,EA64,"man: quiet,silence: no,not: mouth,said,speak,confession: ear,hear"
,Amorites,EDAF,mountain: people
,Amos,EC47,man: hand: big
,Amphipolis,EB2E,"ocean,sea: big: water,wet: village: many,much: neighbor: house: near,close"
,Ampliatus,EBB9,man: very: big
,Amraphel,EDB1,"Man: mute: mouth,said,speak,confession: no,not"
,Anah,E0BA,"Man: many,much: no,not: knife,cut"
,Anam,EDB2,"Man: knife,cut: water,wet"
,Ananias,EB65,"man: king,ruler,lord,master: happy,joy: face"
,ancestor,EC80,"very: past: backward: time,when: man: love,compassion"
,and,E11C,thing
,Andrew,E357,man: man
,Andronicus,EBBA,man: very: good
,Aner,EDB3,"Man: two: water,wet"
,angel,E0A7,"good: spirit: no,not: person"
,anger,E204,
,angry,E204,
,animal,E102,
,Anna,EB02,"woman: no,not: knife,cut"
,Annas,EB63,"man: forgive: no,not: kill,destroy: knife,cut: person"
,anointed,E033,"king,ruler,lord,master: mouth,said,speak,confession: near,close: person"
,another,EBF2,"Person: after: thing: forward,to"
,Antichrist,ED0E,"Deceive,deception,lead_astray,false,lie: bad: no,not: good: cross: measure"
,Antioch,EB58,"against: backward: forward,to: village: many,much: neighbor: house: near,close"
,Antipas,EC01,"Man: dead,death,die: no,not: heart: very: believe,faith: know,knowledge: cross"
,Antipatris,EB9A,"man: against: backward: forward,to: family: house: love,compassion"
,Apelles,EBBB,"man: divide,split,division,separate"
,Apollonia,EB30,"Kill: knife,cut: person: village: many,much: neighbor: house: near,close"
,Apollos,EB3E,"man: kill,destroy,destruction: knife,cut: person"
,apostle,EBEF,"Cross: person: mouth,said,speak,confession"
,appear,E162,"sun,day: eye,see"
,Apphia,ECF1,"Woman: wine: cup,drink: fruit"
,appointed,E041,"mouth,said,speak,confession: near,close : person"
,Appolyon,ECD7,"Man: kill,destroy,destruction: knife,cut: very: person"
,Aquila,EB17,"man: eat,food,meal: mouth,said,speak,confession: thing"
,Arabia,EB77,"land,ground,earth,space: wilderness,desert: no,not: tree,plant,wood"
,Aram,E342,"Sun,day: land,ground,earth,space"
,Aram_man,EDB4,Man: big
,Aram_Naharaim,EB72,"River,stream: land,ground,earth,space"
,Aran,E0FA,"Man: small,few: goat: sheep: soft: bone"
,Ararat,EDB5,"Accuse: mouth,said,speak,confession: bad; no,not; good: mountain"
,Archippus,ECE7,Man: good: horse
,Ard,E0FF,"Man: many,much: child: small,few: person"
,Areli,EFAC,"Man: beast: animal: bad: no,not: good"
,Areopagus,EC35,"council: body: lead,leader: forward,to: person: hill: small,few: mountain"
,Aretas,ECA6,"Man: big: war,fight,battle"
,argument,E057,"mouth,said,speak,confession: wild: no,not: peace: sleep,rest,lie_down: love,compassion"
,Arimathea,E34D,"cross: tomb: house: dead,death,die: no,not: heart: village: many,much: neighbor: house: near,close"
,Arioch,EDB6,Man: lion: hair: face: animal
,arise,E322,Up: straight
,Aristarchus,EC10,"man: good: king,ruler,lord,master"
,Aristobulus,EBBC,"man: according_to: same,equal: mouth,said,speak,confession"
,Arkites,EDB7,Run: walk: very: people
,arm,E14E,big
,armor,EBBD,metal: body: person
,army,E148,"soldier: person: war,fight,battle: many,much"
,Arni,EC52,"man: good: happy,joy: face"
,Arodi,E168,"Man: very: donkey: small,few: horse"
,around,E31B,
,Arphaxad,EC53,"man: no,not: hand"
,arrest,E25F,
,arrow,ECBF,"Throw: knife,cut"
,Artemas,EC34,"man: very: all,whole"
,Arvad,EDB8,"Fast_speed: very: forward,to: land,ground,earth,space"
,Asa,EA5C,"man: heal: hand: health,healthy: happy,joy: face: heart"
,ascend,E322,Up: straight
,Asenath,EFAD,"woman: heart: bad: no,not: good"
,ash,EA90,"Bad: no,not: good: air"
,ashamed,E05F,"quiet,silence: no,not: mouth,said,speak,confession: heart"
,Ashbel,EFAE,"Man: eat,food,meal: mouth,said,speak,confession: thing: fire,heat,hot"
,Asher,EBDE,"Man: happy,joy: face"
,Ashhur,EBDD,"Man: happy,joy: face: land,ground,earth,space"
,Ashkenaz,EDB9,"Man: cold: no,not: fire,heat,hot"
,Ashteroth_Karnaim,EDBA,"Cow: land,earth,ground,space"
,Ashur_land,E0EF,"Black: color: moon,night: land,ground,earth,space"
,Ashur_man,EDBB,"Man: black: color: moon,night"
,Asia,EB6F,"direction: land,ground,earth,space"
,ask,E061,"Mouth,said,speak,confession: ?"
,Asshurites,E1EF,"Many,much: war,battle,fight: people"
,Assos,EB20,"near,close: village: many,much: neighbor: house"
,assurance,E070,"know,knowledge: know,knowledge"
,Assyria,EDBC,"Up: grow,growth,ripen: land,ground,earth,space"
,Asyncritius,EBBE,"man: go,travel,journey"
,Atad,EFAF,"Horn: bone: head: face; village: many,much: neighbor: house: near,close"
,Athens,EB07,"ignorant,ignorance: village: many,much: neighbor: house: near,close"
ë,Attalia,EB,"time,when: village: many,much: neighbor: house: near,close"
